description,name
"Indonesia Heritage Foundation (IHF) (IHF) or Yayasan Warisan Nilai Luhur Indonesia , is a nonprofit organization founded by Dr. Ratna Megawangi and Dr. Sofyan Djalil in June 2000",Indonesia Heritage Foundation (IHF)
The Mountain Gorilla Veterinary Project (MGVP) is dedicated to saving the lives of critically-endangered mountain gorillas.,Mountain Gorilla Veterinary Project (MGVP)
Volunteer animal vets needed worldwide...,Project V.E.T.S.
A Non-Governmental Organisation registered in Uganda since 2006. ,Alpha Youth Uganda
"   African Volunteer Adventures (AVA) is a Ugandan Tours and Safari Company established to deliver an enriching responsible African holiday experience for their customers, with its head offices in Uganda.   ",African Volunteer Adventures
"HOPAC (T) is born to help mitigate and contribute to the prevention, care and support of people affected and infected with HIV and AIDS.",Home Based Palliative Care (HOPAC)
"The preserve is owned by a Costa Rican/American family who are trying to protect the cloudforest and open it up to others (visitors, enthusiasts, school children, volunteers).",Artemis cloudforest preserve
 a non-profit sustainable development foundation in Ecuador...,Yanapuma Foundation
Footprints of Hope Volunteers was founded via Love Kids Orphanage Foundation in April 2010.,Footprints of Hope Volunteers
"Yanapuma Spanish School is a unique, cooperative, teacher-run Spanish school offering professional Spanish language instruction in Quito, Ecuador at reasonable prices.",Yanapuma Spanish School
"We own a newly started hostel based just outside Otavalo in Ecuador, high up in the Andes, about 2 hours by road from Quito airport.",Hosteria Rose Cottage
   The Fun4Kids Project is a free volunteer based organisation located in the town of Khao Lak in the Phang-Nga province of southern Thailand. The area was devastated by the 2004 Tsunami.  ,Fun4Kids Project
"The project will be taking place in the town centre of Paisley, Scotland, and it will involve volunteers and archaeologists working together to carryout archaeological investigations into a couple of sites.","Paisley Project, Scotland"
Victim Support is the independent charity which helps people cope with the effects of crime.,Victim Support
"   DCP has a number of opportunities in the USA and Bahamas for volunteers, interns and people wishing to help with our marine conservation research and education efforts.  ",Dolphin Communication Project
"If you are a student, professional or a retiree who wishes to discover, deepen, share and enjoy the genuine Argentinean culture, we can fulfill all your needs.",Connecting Worlds
"Founded in 2007 on the premise that skilled business people in developed countries can have a genuine impact on poverty in developing countries by providing appropriate, targeted mentoring support to small businesses in those countries.",Skills Venture
"   Cultural Life Tanzania is a volunteer and internship based work organization in Tanzania which is emerged as grass root organization located in Arusha Karatu near ngorongoro and Serengeti, Tanzania, Cultural Life Tanzania is owned by Cultural Life Tanzania House.   ",Cultural Life Tanzania
   The Ultimate Gap program to Africa for ages 18-25!!  Program durations start from as little as  2 weeks to 12 months.   ,Maraneman Adventure Academy - Gap Program SA
"Volunteer programs at WHIPALONG, in one of the most beautiful parts of South Africa. We offer: * Volunteer horse programs * Rehabilitation programs * Horse trails * And much more",WHIPALONG
"Global Service Corps (GSC) is a registered U.S. 501 (c)(3) nonprofit organization providing life changing volunteer, internship or fellowship experiences in Tanzania, Cambodia and Thailand. ",Global Service Corps (GSC)
"Colombianitos is an international nonprofit organization bringing new hope for a better future to thousands of children who are victims of the armed conflict, forced displacement and, consequently, a life of absolute poverty in Colombia. ",Colombianitos
The Human Potential Trust is a British registered charity (No. 1044200).  We have two aims: education and research.  ,The Himan Potential Trust
"Professional Pathways Australia, a division of Monash University, is committed to supporting international students, graduates and high school leavers to fulfill their career ambitions.  ",Professional Pathways Australia
   The Mmanze Centre for Rural Development & Training (MACERUDET) is a community-based Ugandan NGO engaged in empowering self-help projects & sustainable development programs in marginalized rural communities.        ,Mmanze Centre for Rural Development and Training - MACERUDET
